tanggal,data
2017-04-17,983.3
2017-04-25,1007.23
2017-05-02,1005.0
2017-05-05,1012.94
2017-05-10,1006.34
2017-05-16,997.63
2017-05-22,1023.03
2017-05-29,1013.22
2017-06-05,1026.43
2017-06-08,1018.75
2017-06-14,1043.15
2017-06-20,1031.79
2017-07-03,1053.41
2017-07-10,1025.31
2017-07-13,1035.29
2017-07-19,1031.45
2017-07-25,1035.59
2017-07-31,1036.2
2017-08-08,1029.7
2017-08-14,1023.22
2017-08-18,1037.9
2017-08-23,1041.88
2017-08-29,1038.88
2017-09-04,1019.67
2017-09-11,1031.08
2017-09-18,1026.48
2017-09-22,1028.12
2017-09-27,1017.99
2017-10-03,1032.32
2017-10-09,1028.86
2017-10-16,1035.88
2017-10-23,1031.63
2017-10-26,1036.74
2017-11-01,1044.99
2017-11-07,1056.76
2017-11-13,1046.0
2017-11-20,1054.79
2017-11-27,1061.35
2017-11-30,1036.13
2017-12-06,1064.31
2017-12-12,1065.53
2017-12-18,1080.64
2017-12-27,1109.12
2017-12-29,1125.74
2018-01-04,1113.22
2018-01-10,1127.8
2018-01-16,1140.34
2018-01-22,1148.22
2018-01-29,1171.89
2018-02-02,1157.86
2018-02-08,1149.57
2018-02-14,1155.85
2018-02-20,1166.79
2018-02-26,1136.98
2018-03-05,1131.03
2018-03-09,1105.31
2018-03-15,1078.65
2018-03-21,1078.58
2018-03-27,1054.79
2018-04-02,1063.51
2018-04-09,1066.34
2018-04-13,1068.77
2018-04-19,1088.65
2018-04-25,1025.14
2018-05-02,1008.48
2018-05-07,985.16
2018-05-14,1013.48
2018-05-18,969.79
2018-05-24,1006.2
2018-05-30,1017.2
2018-06-05,1029.65
2018-06-20,979.58
2018-06-22,961.98
2018-06-28,933.57
2018-07-04,962.84
2018-07-10,984.6
2018-07-16,984.26
2018-07-23,989.64
2018-07-27,1002.31
2018-08-02,1004.69
2018-08-08,1020.81
2018-08-14,954.94
2018-08-20,978.37
2018-08-27,1006.01
2018-08-31,1004.21
2018-09-06,957.94
2018-09-12,960.86
2018-09-18,961.87
2018-09-24,978.45
2018-10-01,993.3
2018-10-05,948.44
2018-10-11,943.78
2018-10-17,979.0
2018-10-23,962.07
2018-10-29,953.35
2018-11-05,995.55
2018-11-09,981.88
2018-11-15,997.4
2018-11-21,994.4
2018-11-27,1008.31
2018-12-03,1027.13
2018-12-10,1022.62
2018-12-14,1035.17
2018-12-20,1034.33
2018-12-26,1027.42
2019-01-02,1031.96
2019-01-07,1051.98
2019-01-14,1056.49
2019-01-18,1079.54
2019-01-24,1070.84
2019-01-30,1067.18
2019-02-06,1078.19
2019-02-11,1062.82
2019-02-18,1058.32
2019-02-22,1056.21
2019-02-28,1044.82
2019-03-06,1048.51
2019-03-12,1032.75
2019-03-18,1064.01
2019-03-25,1041.43
2019-03-29,1056.71
2019-04-04,1064.1
2019-04-10,1061.8
2019-04-16,1061.73
2019-04-22,1047.61
2019-04-29,1049.77
2019-05-03,1032.38
2019-05-09,1009.43
2019-05-15,972.35
2019-05-21,967.53
2019-05-27,1004.18
2019-06-10,1046.02
2019-06-13,1042.85
2019-06-19,1059.83
2019-06-25,1050.92
2019-07-01,1067.78
2019-07-08,1059.49
2019-07-12,1062.09
2019-07-18,1068.28
2019-07-24,1063.4
2019-07-29,1048.52
2019-08-05,1014.69
2019-08-12,1022.62
2019-08-16,1018.64
2019-08-22,1009.06
2019-08-28,1016.0
2019-09-02,1020.99
2019-09-09,1025.95
2019-09-16,1018.01
2019-09-20,1014.83
2019-09-26,1010.51
2019-10-02,973.06
2019-10-07,962.61
2019-10-14,986.04
2019-10-21,1006.97
2019-10-25,1022.71
2019-10-31,1016.11
2019-11-06,1018.96
2019-11-11,1010.67
2019-11-18,1004.93
2019-11-25,998.42
2019-11-29,986.84
2019-12-05,1015.66
2019-12-11,1019.71
2019-12-16,1032.03
2019-12-23,1050.53
2019-12-30,1042.57
2020-01-03,1049.83
2020-01-09,1044.94
2020-01-15,1050.34
2020-01-20,1044.77
2020-01-27,1022.74
2020-02-03,973.4
2020-02-05,995.69
2020-02-07,995.69
2020-02-10,985.76
2020-02-13,967.07
2020-02-17,970.06
2020-02-18,973.29
2020-02-20,985.58
2020-02-24,956.19
2020-02-28,900.36
2020-03-02,883.73
2020-03-03,914.0
2020-03-06,908.18
2020-03-09,837.06
2020-03-10,851.67
2020-03-13,800.94
2020-03-16,758.31
2020-03-18,687.94
2020-03-19,647.75
2020-03-23,620.22
2020-03-24,603.62
2020-03-26,676.06
2020-03-30,688.98
2020-04-02,712.21
2020-04-06,759.92
2020-04-09,725.3
2020-04-13,718.4
2020-04-17,721.31
2020-04-20,709.76
2020-04-23,716.27
2020-04-24,696.58
2020-04-28,706.34
2020-05-04,720.29
2020-05-05,721.89
2020-05-11,728.45
2020-05-13,708.82
2020-05-18,700.78
2020-05-20,709.4
2020-05-26,725.34
2020-05-28,742.93
2020-06-02,781.54
2020-06-04,796.32
2020-06-08,827.08
2020-06-12,786.91
2020-06-15,776.18
2020-06-19,802.48
2020-06-22,798.65
2020-06-23,791.66
2020-06-26,798.7
2020-06-29,797.85
2020-06-30,797.95
2020-07-02,810.65
2020-07-06,817.64
2020-07-07,817.41
2020-07-08,836.36
2020-07-13,831.96
2020-07-15,834.98
2020-07-20,827.35
2020-07-23,849.23
2020-07-27,844.17
2020-07-30,846.77
2020-08-03,818.64
2020-08-06,858.46
2020-08-07,853.52
2020-08-10,854.99
2020-08-11,860.55
2020-08-14,872.64
2020-08-18,883.56
2020-08-24,879.41
2020-08-25,894.17
2020-08-31,869.09
2020-09-02,886.95
2020-09-04,869.98
2020-09-07,869.17
2020-09-09,848.42
2020-09-14,850.78
2020-09-15,837.51
2020-09-17,822.32
2020-09-21,814.98
2020-09-24,786.08
2020-09-28,796.12
2020-10-02,797.02
2020-10-05,801.19
2020-10-09,818.57
2020-10-13,830.48
2020-10-14,843.76
2020-10-19,838.51
2020-10-20,835.37
2020-10-26,842.33
2020-11-02,835.66
2020-11-04,828.11
2020-11-09,884.63
2020-11-12,907.91
2020-11-13,908.84
2020-11-16,914.99
2020-11-18,926.46
2020-11-19,927.14
2020-11-23,942.59
2020-11-24,947.7
2020-11-27,961.44
2020-11-30,923.47
2020-12-01,945.55
2020-12-04,957.86
2020-12-07,977.96
2020-12-08,975.32
2020-12-14,983.81
2020-12-15,989.71
2020-12-18,1007.88
2020-12-21,1018.95
2020-12-23,981.31
