tanggal,NAV,AUM
2018-01-15,1000.48,NA
2018-01-19,1001.01,NA
2018-01-24,1001.68,NA
2018-01-30,1002.52,NA
2018-02-01,NA,50340000000.0
2018-02-05,1003.34,NA
2018-02-09,1003.89,NA
2018-02-14,1004.53,NA
2018-02-20,1005.32,NA
2018-02-26,1006.43,NA
2018-03-01,NA,151550000000.0
2018-03-02,1007.27,NA
2018-03-07,1008.07,NA
2018-03-13,1008.94,NA
2018-03-19,1009.8,NA
2018-03-23,1010.23,NA
2018-03-29,1010.8,NA
2018-04-01,NA,152140000000.0
2018-04-03,1011.35,NA
2018-04-09,1012.12,NA
2018-04-13,1012.62,NA
2018-04-19,1013.35,NA
2018-04-24,1013.99,NA
2018-04-30,1014.74,NA
2018-05-01,NA,152730000000.0
2018-05-07,1015.54,NA
2018-05-11,1015.99,NA
2018-05-15,1016.62,NA
2018-05-21,1017.41,NA
2018-05-28,1018.32,NA
2018-05-31,1018.69,NA
2018-06-01,NA,203550000000.0
2018-06-05,1019.17,NA
2018-06-20,1021.06,NA
2018-06-21,1021.29,NA
2018-06-26,1022.31,NA
2018-07-01,NA,204450000000.0
2018-07-02,1023.15,NA
2018-07-09,1024.23,NA
2018-07-12,1024.69,NA
2018-07-17,1025.38,NA
2018-07-23,1026.19,NA
2018-07-30,1027.21,NA
2018-08-01,NA,52010000000.0
2018-08-02,1027.58,NA
2018-08-08,1028.44,NA
2018-08-13,1029.2,NA
2018-08-20,1030.2,NA
2018-08-23,1030.61,NA
2018-08-29,1030.96,NA
2018-09-01,NA,52120000000.0
2018-09-03,1031.01,NA
2018-09-10,1031.58,NA
2018-09-14,1030.38,NA
2018-09-19,1031.15,NA
2018-09-24,1032.37,NA
2018-10-01,1033.2,89580000000.0
2018-10-05,1033.91,NA
2018-10-10,1034.77,NA
2018-10-15,1035.68,NA
2018-10-22,1036.71,NA
2018-10-26,1037.45,NA
2018-10-31,1038.32,NA
2018-11-01,NA,88980000000.0
2018-11-05,1039.02,NA
2018-11-12,1040.08,NA
2018-11-16,1040.59,NA
2018-11-21,1041.41,NA
2018-11-27,1042.56,NA
2018-12-01,NA,88080000000.0
2018-12-03,1043.78,NA
2018-12-07,1044.42,NA
