tanggal,NAV,AUM,currency
2017-04-17,983.3,NA,IDR
2017-04-25,1007.23,NA,IDR
2017-05-01,NA,15240000000.0,IDR
2017-05-02,1005.0,NA,IDR
2017-05-05,1012.94,NA,IDR
2017-05-10,1006.34,NA,IDR
2017-05-16,997.63,NA,IDR
2017-05-22,1023.03,NA,IDR
2017-05-29,1013.22,NA,IDR
2017-06-01,NA,111420000000.0,IDR
2017-06-05,1026.43,NA,IDR
2017-06-09,1012.52,NA,IDR
2017-06-14,1043.15,NA,IDR
2017-06-20,1031.79,NA,IDR
2017-07-01,NA,111660000000.0,IDR
2017-07-03,1053.41,NA,IDR
2017-07-10,1025.31,NA,IDR
2017-07-14,1036.65,NA,IDR
2017-07-19,1031.45,NA,IDR
2017-07-25,1035.59,NA,IDR
2017-07-31,1036.2,NA,IDR
2017-08-01,NA,153490000000.0,IDR
2017-08-08,1029.7,NA,IDR
2017-08-14,1023.22,NA,IDR
2017-08-18,1037.9,NA,IDR
2017-08-23,1041.88,NA,IDR
2017-08-29,1038.88,NA,IDR
2017-09-01,NA,152060000000.0,IDR
2017-09-04,1019.67,NA,IDR
2017-09-11,1031.08,NA,IDR
2017-09-18,1026.48,NA,IDR
2017-09-22,1028.12,NA,IDR
2017-09-28,1010.85,NA,IDR
2017-10-01,NA,154270000000.0,IDR
2017-10-03,1032.32,NA,IDR
2017-10-09,1028.86,NA,IDR
2017-10-16,1035.88,NA,IDR
2017-10-23,1031.63,NA,IDR
2017-10-27,1031.86,NA,IDR
2017-11-01,NA,154140000000.0,IDR
2017-11-02,1046.67,NA,IDR
2017-11-07,1056.76,NA,IDR
2017-11-13,1046.0,NA,IDR
2017-11-20,1054.79,NA,IDR
2017-11-27,1061.35,NA,IDR
2017-12-01,NA,335810000000.0,IDR
2017-12-04,1053.04,NA,IDR
2017-12-07,1058.65,NA,IDR
2017-12-12,1065.53,NA,IDR
2017-12-18,1080.64,NA,IDR
2017-12-27,1109.12,NA,IDR
2018-01-01,NA,360190000000.0,IDR
2018-01-02,1121.88,NA,IDR
2018-01-05,1126.18,NA,IDR
2018-01-11,1131.3,NA,IDR
2018-01-16,1140.34,NA,IDR
2018-01-22,1148.22,NA,IDR
2018-01-29,1171.89,NA,IDR
2018-02-01,NA,750000000000.0,IDR
2018-02-05,1153.03,NA,IDR
2018-02-09,1143.74,NA,IDR
2018-02-15,1153.73,NA,IDR
2018-02-20,1166.79,NA,IDR
2018-02-26,1136.98,NA,IDR
2018-03-01,NA,930000000000.0,IDR
2018-03-05,1131.03,NA,IDR
2018-03-12,1116.81,NA,IDR
2018-03-16,1077.09,NA,IDR
2018-03-22,1066.09,NA,IDR
2018-03-28,1040.08,NA,IDR
2018-04-01,NA,890000000000.0,IDR
2018-04-02,1063.51,NA,IDR
2018-04-09,1066.34,NA,IDR
2018-04-16,1073.41,NA,IDR
2018-04-20,1082.41,NA,IDR
2018-04-26,988.47,NA,IDR
2018-05-01,NA,890000000000.0,IDR
2018-05-02,1008.48,NA,IDR
2018-05-07,985.16,NA,IDR
2018-05-14,1013.48,NA,IDR
2018-05-21,957.53,NA,IDR
2018-05-25,1010.76,NA,IDR
2018-05-31,1006.89,NA,IDR
2018-06-01,NA,860000000000.0,IDR
2018-06-06,1024.58,NA,IDR
2018-06-20,979.58,NA,IDR
2018-06-25,972.17,NA,IDR
2018-06-29,962.33,NA,IDR
2018-07-01,NA,890000000000.0,IDR
2018-07-05,960.32,NA,IDR
2018-07-11,984.69,NA,IDR
2018-07-16,984.26,NA,IDR
2018-07-23,989.64,NA,IDR
2018-07-30,1009.65,NA,IDR
2018-08-01,NA,910000000000.0,IDR
2018-08-03,1005.52,NA,IDR
2018-08-09,1015.57,NA,IDR
2018-08-15,964.42,NA,IDR
2018-08-20,978.37,NA,IDR
2018-08-27,1006.01,NA,IDR
2018-09-01,NA,900000000000.0,IDR
2018-09-03,992.97,NA,IDR
2018-09-07,975.71,NA,IDR
2018-09-13,972.9,NA,IDR
2018-09-19,973.51,NA,IDR
2018-09-25,977.01,NA,IDR
2018-10-01,993.3,1010000000000.0,IDR
2018-10-08,953.76,NA,IDR
2018-10-12,952.85,NA,IDR
2018-10-18,971.29,NA,IDR
2018-10-24,941.55,NA,IDR
2018-10-30,962.69,NA,IDR
2018-11-01,NA,1050000000000.0,IDR
2018-11-05,995.55,NA,IDR
2018-11-12,957.85,NA,IDR
2018-11-16,1010.3,NA,IDR
2018-11-22,1005.42,NA,IDR
2018-11-28,1001.26,NA,IDR
2018-12-01,NA,1070000000000.0001,IDR
2018-12-04,1034.49,NA,IDR
2018-12-10,1022.62,NA,IDR
2018-12-17,1018.78,NA,IDR
2018-12-21,1037.9,NA,IDR
2018-12-27,1036.54,NA,IDR
2019-01-01,NA,920000000000.0,IDR
2019-01-02,1031.96,NA,IDR
2019-01-08,1046.28,NA,IDR
2019-01-14,1056.49,NA,IDR
2019-01-21,1077.16,NA,IDR
2019-01-25,1073.64,NA,IDR
2019-01-31,1081.3,NA,IDR
2019-02-01,NA,750000000000.0,IDR
2019-02-06,1078.19,NA,IDR
2019-02-12,1049.83,NA,IDR
2019-02-18,1058.32,NA,IDR
2019-02-25,1060.9,NA,IDR
2019-03-01,1057.91,720000000000.0,IDR
2019-03-08,1033.97,NA,IDR
2019-03-13,1035.09,NA,IDR
2019-03-19,1058.85,NA,IDR
2019-03-25,1041.43,NA,IDR
2019-04-01,1054.16,700000000000.0,IDR
2019-04-05,1058.96,NA,IDR
2019-04-11,1045.13,NA,IDR
2019-04-18,1066.35,NA,IDR
2019-04-23,1058.31,NA,IDR
2019-04-29,1049.77,NA,IDR
2019-05-01,NA,680000000000.0,IDR
2019-05-06,1021.82,NA,IDR
2019-05-10,1011.19,NA,IDR
2019-05-16,956.97,NA,IDR
2019-05-22,964.5,NA,IDR
2019-05-28,988.42,NA,IDR
2019-06-01,NA,700000000000.0,IDR
2019-06-10,1046.02,NA,IDR
2019-06-14,1038.82,NA,IDR
2019-06-20,1057.03,NA,IDR
2019-06-26,1048.04,NA,IDR
