tanggal,NAV,AUM,currency
2004-06-21,1000.0,NA,IDR
2004-07-01,NA,620000000000.0,IDR
2004-07-06,1000.0,NA,IDR
2004-07-21,1000.0,NA,IDR
2004-08-01,NA,720000000000.0,IDR
2004-08-05,1000.0,NA,IDR
2004-08-23,1000.0,NA,IDR
2004-09-01,NA,760000000000.0,IDR
2004-09-06,1000.0,NA,IDR
2004-09-21,1000.0,NA,IDR
2004-10-01,NA,720000000000.0,IDR
2004-10-06,1000.0,NA,IDR
2004-10-21,1000.0,NA,IDR
2004-11-01,NA,740000000000.0,IDR
2004-11-08,1000.0,NA,IDR
2004-11-22,1000.0,NA,IDR
2004-12-01,NA,700000000000.0,IDR
2004-12-07,1000.0,NA,IDR
2004-12-22,1000.0,NA,IDR
2005-01-01,NA,690000000000.0,IDR
2005-01-06,1000.0,NA,IDR
2005-01-24,1000.0,NA,IDR
2005-02-01,NA,570000000000.0,IDR
2005-02-07,1000.0,NA,IDR
2005-02-22,1000.0,NA,IDR
2005-03-01,NA,630000000000.0,IDR
2005-03-09,1000.0,NA,IDR
2005-03-28,1000.0,NA,IDR
2005-04-01,NA,920000000000.0,IDR
2005-04-11,1000.0,NA,IDR
2005-04-25,1000.0,NA,IDR
2005-05-01,NA,950000000000.0,IDR
2005-05-10,1000.0,NA,IDR
2005-05-25,1000.0,NA,IDR
2005-06-01,NA,990000000000.0,IDR
2005-06-10,1000.0,NA,IDR
2005-06-27,1000.0,NA,IDR
2005-07-01,NA,1060000000000.0,IDR
2005-07-11,1000.0,NA,IDR
2005-07-26,1000.0,NA,IDR
2005-08-01,NA,1010000000000.0,IDR
2005-08-11,1000.0,NA,IDR
2005-08-26,1000.0,NA,IDR
2005-09-01,NA,314130000000.0,IDR
2005-09-12,1000.0,NA,IDR
2005-09-26,1000.0,NA,IDR
2005-10-01,NA,236870000000.0,IDR
2005-10-11,1000.0,NA,IDR
2005-10-27,1000.0,NA,IDR
2005-11-01,NA,196440000000.0,IDR
2005-11-11,1000.0,NA,IDR
2005-11-28,1000.0,NA,IDR
2005-12-01,NA,173690000000.0,IDR
2005-12-12,1000.0,NA,IDR
2005-12-28,1000.0,NA,IDR
2006-01-01,NA,175990000000.0,IDR
2006-01-12,1000.0,NA,IDR
2006-01-27,1000.0,NA,IDR
2006-02-01,NA,178580000000.0,IDR
2006-02-13,1000.0,NA,IDR
2006-02-27,1000.0,NA,IDR
2006-03-01,NA,263680000000.0,IDR
2006-03-15,1000.0,NA,IDR
2006-04-01,NA,200440000000.0,IDR
2006-04-03,1000.0,NA,IDR
2006-04-17,1000.0,NA,IDR
2006-05-01,1000.0,175930000000.0,IDR
2006-05-15,1000.0,NA,IDR
2006-05-31,1000.0,NA,IDR
2006-06-01,NA,226010000000.0,IDR
2006-06-15,1000.0,NA,IDR
2006-07-01,NA,203760000000.0,IDR
2006-07-03,1000.0,NA,IDR
2006-07-17,1000.0,NA,IDR
2006-08-01,1000.0,215800000000.0,IDR
2006-08-16,1000.0,NA,IDR
2006-08-31,1000.0,NA,IDR
2006-09-01,NA,316750000000.0,IDR
2006-09-18,1000.0,NA,IDR
2006-10-01,NA,452080000000.0,IDR
2006-10-02,1000.0,NA,IDR
2006-10-17,1000.0,NA,IDR
2006-11-01,1000.0,404230000000.0,IDR
2006-11-17,1000.0,NA,IDR
2006-12-01,NA,411330000000.0,IDR
2006-12-04,1000.0,NA,IDR
2006-12-18,1000.0,NA,IDR
2007-01-01,NA,433530000000.0,IDR
2007-01-02,1000.0,NA,IDR
2007-01-17,1000.0,NA,IDR
2007-02-01,NA,570000000000.0,IDR
2007-02-02,1000.0,NA,IDR
2007-02-19,1000.0,NA,IDR
2007-03-01,NA,690000000000.0,IDR
2007-03-05,1000.0,NA,IDR
2007-03-20,1000.0,NA,IDR
2007-04-01,NA,700000000000.0,IDR
2007-04-05,1000.0,NA,IDR
2007-04-20,1000.0,NA,IDR
2007-05-01,NA,540000000000.00006,IDR
2007-05-07,1000.0,NA,IDR
2007-05-21,1000.0,NA,IDR
2007-06-01,NA,570000000000.0,IDR
2007-06-05,1000.0,NA,IDR
2007-06-21,1000.0,NA,IDR
2007-07-01,NA,660000000000.0,IDR
2007-07-06,1000.0,NA,IDR
2007-07-23,1000.0,NA,IDR
2007-08-01,NA,640000000000.0,IDR
2007-08-06,1000.0,NA,IDR
2007-08-21,1000.0,NA,IDR
2007-09-01,NA,510000000000.0,IDR
2007-09-06,1000.0,NA,IDR
2007-09-21,1000.0,NA,IDR
2007-10-01,NA,600000000000.0,IDR
2007-10-08,1000.0,NA,IDR
2007-10-22,1000.0,NA,IDR
2007-11-01,NA,620000000000.0,IDR
2007-11-07,1000.0,NA,IDR
2007-11-22,1000.0,NA,IDR
2007-12-01,NA,710000000000.0,IDR
2007-12-10,1000.0,NA,IDR
2007-12-24,1000.0,NA,IDR
2008-01-01,NA,690000000000.0,IDR
2008-01-07,1000.0,NA,IDR
2008-01-23,1000.0,NA,IDR
2008-02-01,NA,740000000000.0,IDR
2008-02-08,1000.0,NA,IDR
2008-02-25,1000.0,NA,IDR
2008-03-01,NA,640000000000.0,IDR
2008-03-10,1000.0,NA,IDR
2008-03-25,1000.0,NA,IDR
2008-04-01,NA,650000000000.0,IDR
2008-04-09,1000.0,NA,IDR
2008-04-24,1000.0,NA,IDR
2008-05-01,NA,660000000000.0,IDR
2008-05-12,1000.0,NA,IDR
2008-05-26,1000.0,NA,IDR
2008-06-01,NA,650000000000.0,IDR
2008-06-10,1000.0,NA,IDR
2008-06-25,1000.0,NA,IDR
2008-07-01,NA,590000000000.0,IDR
2008-07-11,1000.0,NA,IDR
2008-07-28,1000.0,NA,IDR
2008-08-01,NA,530000000000.0,IDR
2008-08-11,1000.0,NA,IDR
2008-08-26,1000.0,NA,IDR
2008-09-01,NA,451100000000.0,IDR
2008-09-10,1000.0,NA,IDR
2008-09-26,1000.0,NA,IDR
2008-10-01,NA,286740000000.0,IDR
2008-10-13,1000.0,NA,IDR
2008-10-27,1000.0,NA,IDR
2008-11-01,NA,265450000000.0,IDR
2008-11-11,1000.0,NA,IDR
2008-11-27,1000.0,NA,IDR
2008-12-01,NA,239640000000.0,IDR
2008-12-12,1000.0,NA,IDR
2008-12-30,1000.0,NA,IDR
2009-01-01,NA,202010000000.0,IDR
2009-01-12,1000.0,NA,IDR
2009-01-27,1000.0,NA,IDR
2009-02-01,NA,211490000000.0,IDR
