tanggal,NAV,AUM,currency
2007-12-26,13690.0,NA,IDR
2008-01-08,13780.0,NA,IDR
2008-01-21,13885.3,NA,IDR
2008-02-04,13864.7,NA,IDR
2008-02-15,13860.0,NA,IDR
2008-02-28,13790.0,NA,IDR
2008-03-12,13650.0,NA,IDR
2008-03-25,13420.0,NA,IDR
2008-04-07,12550.0,NA,IDR
2008-04-21,12760.0,NA,IDR
2008-05-02,12480.0,NA,IDR
2008-05-15,12620.0,NA,IDR
2008-05-28,12620.0,NA,IDR
2008-06-10,12340.0,NA,IDR
2008-06-23,12480.0,NA,IDR
2008-07-07,12550.0,NA,IDR
2008-07-18,12956.7,NA,IDR
2008-07-31,13320.0,NA,IDR
2008-08-13,13500.0,NA,IDR
2008-08-25,13330.0,NA,IDR
2008-09-08,13290.0,NA,IDR
2008-09-22,13123.5,NA,IDR
2008-10-06,12640.0,NA,IDR
2008-10-16,11830.0,NA,IDR
2008-10-28,10050.0,NA,IDR
2008-11-10,11910.0,NA,IDR
2008-11-24,10990.0,NA,IDR
2008-12-09,13210.0,NA,IDR
2008-12-19,14010.0,NA,IDR
2009-01-05,14110.0,NA,IDR
2009-01-13,13820.0,NA,IDR
2009-01-27,13960.0,NA,IDR
2009-02-09,13910.0,NA,IDR
2009-02-23,13060.0,NA,IDR
2009-03-06,13110.0,NA,IDR
2009-03-18,13610.0,NA,IDR
2009-03-31,13990.0,NA,IDR
2009-04-13,14370.0,NA,IDR
2009-04-27,14450.0,NA,IDR
2009-05-11,14780.0,NA,IDR
2009-05-22,14980.0,NA,IDR
2009-06-05,15680.0,NA,IDR
2009-06-19,14970.0,NA,IDR
2009-06-29,15240.0,NA,IDR
2009-07-13,15680.0,NA,IDR
2009-07-24,15860.0,NA,IDR
2009-08-06,15950.0,NA,IDR
2009-08-19,15640.0,NA,IDR
2009-09-01,15870.0,NA,IDR
2009-09-14,15950.0,NA,IDR
2009-09-28,16270.0,NA,IDR
2009-10-09,16490.0,NA,IDR
