tanggal,NAV,AUM
2019-05-03,1000.23,NA
2019-05-07,1000.68,NA
2019-05-13,1001.39,NA
2019-05-16,1001.75,NA
2019-05-20,1002.24,NA
2019-05-27,1003.37,NA
2019-05-29,1003.63,NA
2019-06-01,NA,59780000000.0
2019-06-10,1005.4,NA
2019-06-11,1005.51,NA
2019-06-17,1006.31,NA
2019-06-20,1007.4,NA
2019-06-24,1007.28,NA
2019-06-28,1008.72,NA
2019-07-01,NA,73480000000.0
2019-07-02,1009.12,NA
2019-07-08,1010.46,NA
2019-07-11,1011.05,NA
2019-07-15,1011.68,NA
2019-07-22,1012.79,NA
2019-07-24,1013.07,NA
2019-07-29,1013.83,NA
2019-08-01,NA,88330000000.0
2019-08-02,1014.32,NA
2019-08-06,1014.88,NA
2019-08-12,1015.86,NA
2019-08-15,1016.29,NA
2019-08-19,1016.92,NA
2019-08-23,1017.53,NA
2019-08-27,1018.12,NA
2019-09-01,NA,110800000000.0
2019-09-02,1018.94,NA
2019-09-05,1019.42,NA
2019-09-09,1020.07,NA
2019-09-16,1021.19,NA
2019-09-18,1021.52,NA
2019-09-23,1022.27,NA
2019-09-27,1022.89,NA
2019-10-01,1023.48,125030000000.0
2019-10-07,1024.18,NA
2019-10-10,1024.66,NA
2019-10-14,1025.25,NA
2019-10-18,1025.86,NA
2019-10-23,1026.64,NA
2019-10-28,1027.3,NA
2019-10-31,1027.73,NA
2019-11-01,NA,129020000000.00002
2019-11-04,1028.39,NA
2019-11-11,1029.56,NA
2019-11-13,1029.87,NA
2019-11-18,1030.67,NA
2019-11-22,1031.29,NA
2019-11-26,1031.89,NA
2019-12-01,NA,127070000000.0
2019-12-02,1032.74,NA
2019-12-05,1033.37,NA
2019-12-09,1033.97,NA
2019-12-13,1034.58,NA
2019-12-18,1035.3,NA
2019-12-23,1036.07,NA
2019-12-26,1036.57,NA
2019-12-30,1037.18,NA
2020-01-01,NA,122260000000.0
2020-01-06,1038.24,NA
2020-01-08,1038.54,NA
2020-01-13,1039.34,NA
2020-01-17,1040.21,NA
2020-01-21,1040.81,NA
2020-01-27,1041.7,NA
2020-01-30,1042.16,NA
2020-02-01,NA,114570000000.0
2020-02-03,1042.64,NA
2020-02-07,1043.29,NA
2020-02-10,1043.73,NA
2020-02-12,1044.04,NA
2020-02-14,1044.34,NA
2020-02-17,1044.77,NA
2020-02-18,1044.94,NA
2020-02-20,1045.22,NA
2020-02-24,1045.81,NA
2020-02-25,1045.96,NA
2020-03-01,NA,102820000000.0
2020-03-02,1046.71,NA
2020-03-04,1047.08,NA
2020-03-09,1047.76,NA
2020-03-11,1048.07,NA
2020-03-13,1048.31,NA
2020-03-16,1048.77,NA
2020-03-17,1048.92,NA
2020-03-19,1049.08,NA
2020-03-23,1049.61,NA
2020-03-26,1050.04,NA
2020-03-30,1050.62,NA
2020-04-01,NA,104560000000.0
2020-04-03,1051.13,NA
2020-04-07,1051.71,NA
2020-04-08,1051.84,NA
2020-04-13,1052.52,NA
2020-04-14,1052.65,NA
2020-04-16,1052.93,NA
2020-04-20,1053.49,NA
2020-04-21,1053.62,NA
2020-04-22,1053.75,NA
2020-04-27,1054.44,NA
2020-04-29,1054.7,NA
2020-05-01,NA,100510000000.0
2020-05-04,1055.41,NA
2020-05-06,1055.68,NA
2020-05-08,1055.94,NA
2020-05-11,1056.36,NA
2020-05-12,1056.49,NA
2020-05-14,1056.75,NA
2020-05-18,1057.2,NA
2020-05-26,1058.21,NA
2020-05-29,1058.54,NA
2020-06-01,NA,99270000000.0
2020-06-02,1059.06,NA
2020-06-03,1059.19,NA
2020-06-05,1059.47,NA
2020-06-08,1059.83,NA
2020-06-09,1059.95,NA
2020-06-11,1060.3,NA
2020-06-15,1060.8,NA
2020-06-16,1060.92,NA
2020-06-17,1061.05,NA
2020-06-22,1061.7,NA
2020-06-24,1061.93,NA
2020-06-29,1062.36,NA
2020-07-01,NA,92850000000.0
2020-07-02,1062.67,NA
2020-07-03,1062.87,NA
2020-07-06,1063.21,NA
2020-07-07,1063.3,NA
2020-07-09,1063.5,NA
2020-07-13,1064.01,NA
2020-07-16,1064.47,NA
2020-07-20,1065.1,NA
2020-07-24,1065.61,NA
2020-07-28,1066.15,NA
2020-07-29,1066.24,NA
2020-08-01,NA,91440000000.0
2020-08-03,1066.91,NA
2020-08-04,1067.01,NA
2020-08-06,1067.34,NA
2020-08-10,1067.94,NA
2020-08-11,1068.12,NA
2020-08-12,1068.3,NA
2020-08-18,1069.14,NA
2020-08-19,1069.29,NA
2020-08-24,1069.95,NA
2020-08-27,1070.11,NA
2020-08-28,1070.18,NA
2020-08-31,1070.52,NA
2020-09-01,1070.7,90190000000.0
2020-09-03,1070.82,NA
2020-09-07,1071.78,NA
2020-09-10,1072.04,NA
2020-09-11,1072.15,NA
2020-09-14,1072.52,NA
2020-09-18,1072.92,NA
2020-09-22,1073.46,NA
2020-09-23,1073.6,NA
2020-09-25,1073.85,NA
2020-09-28,1074.2,NA
2020-09-29,1074.28,NA
2020-10-01,1074.36,86910000000.0
2020-10-05,1074.83,NA
2020-10-06,1074.99,NA
2020-10-07,1075.12,NA
2020-10-12,1075.76,NA
2020-10-14,1076.01,NA
2020-10-19,1076.68,NA
2020-10-22,1076.94,NA
2020-10-23,1077.13,NA
2020-10-26,1077.56,NA
2020-10-27,1077.7,NA
2020-11-01,NA,84150000000.0
2020-11-02,1078.46,NA
2020-11-05,1079.08,NA
2020-11-06,1079.4,NA
2020-11-09,1079.79,NA
2020-11-13,1080.01,NA
2020-11-17,1080.51,NA
2020-11-18,1080.63,NA
2020-11-23,1081.28,NA
2020-11-24,1081.39,NA
2020-11-26,1081.68,NA
2020-11-30,1081.68,NA
2020-12-01,1081.77,80680000000.0
2020-12-02,1081.86,NA
2020-12-07,1082.47,NA
2020-12-10,1082.83,NA
2020-12-14,1083.27,NA
2020-12-17,1083.62,NA
2020-12-18,1083.73,NA
2020-12-21,1084.09,NA
2020-12-22,1084.2,NA
2020-12-28,1084.92,NA
2021-01-01,NA,80630000000.0
2021-01-04,1085.57,NA
2021-01-08,1085.97,NA
2021-01-11,1086.29,NA
2021-01-12,1086.39,NA
2021-01-13,1086.48,NA
2021-01-18,1086.98,NA
2021-01-19,1087.08,NA
2021-01-21,1087.28,NA
2021-01-25,1087.72,NA
2021-01-26,1087.82,NA
2021-01-27,1087.92,NA
2021-02-01,1088.36,79840000000.0
2021-02-03,1088.56,NA
2021-02-08,1089.08,NA
2021-02-11,1089.36,NA
2021-02-15,1089.78,NA
2021-02-16,1089.88,NA
2021-02-18,1090.07,NA
2021-02-22,1090.48,NA
2021-02-25,1090.73,NA
2021-02-26,1090.82,NA
2021-03-01,1091.34,80170000000.0
2021-03-05,1091.92,NA
2021-03-08,1092.24,NA
2021-03-09,1092.33,NA
2021-03-10,1092.42,NA
2021-03-15,1092.96,NA
2021-03-16,1093.04,NA
2021-03-18,1093.21,NA
2021-03-22,1093.59,NA
2021-03-23,1093.68,NA
2021-03-24,1093.78,NA
2021-03-29,1094.21,NA
2021-03-31,1094.29,NA
2021-04-01,NA,84160000000.0
2021-04-05,1094.8,NA
2021-04-08,1095.08,NA
2021-04-09,1095.16,NA
2021-04-12,1095.46,NA
2021-04-13,1095.54,NA
2021-04-15,1095.7,NA
2021-04-19,1096.08,NA
2021-04-22,1096.35,NA
2021-04-23,1096.41,NA
2021-04-26,1096.71,NA
2021-04-27,1096.78,NA
2021-04-30,1096.75,NA
2021-05-01,NA,83070000000.0
2021-05-03,1097.03,NA
2021-05-04,1097.05,NA
2021-05-05,1097.16,NA
2021-05-10,1097.59,NA
2021-05-11,1097.66,NA
2021-05-17,1098.25,NA
2021-05-18,1098.3,NA
2021-05-19,1098.37,NA
2021-05-24,1098.67,NA
2021-05-27,1098.91,NA
2021-05-31,1099.19,NA
2021-06-01,NA,81750000000.0
2021-06-03,1099.44,NA
2021-06-04,1099.51,NA
2021-06-07,1099.79,NA
2021-06-08,1099.85,NA
2021-06-10,1099.9,NA
2021-06-14,1100.35,NA
2021-06-17,1100.28,NA
2021-06-18,1100.33,NA
2021-06-21,1100.64,NA
2021-06-22,1100.71,NA
2021-06-25,1101.04,NA
2021-06-28,1101.29,NA
2021-06-29,1101.37,NA
2021-06-30,1101.36,NA
2021-07-01,NA,81770000000.0
2021-07-05,1101.79,NA
2021-07-07,1101.9,NA
2021-07-09,1102.06,NA
2021-07-12,1102.26,NA
2021-07-13,1102.35,NA
2021-07-14,1102.44,NA
2021-07-19,1102.77,NA
2021-07-21,1102.95,NA
2021-07-22,1103.11,NA
2021-07-26,1103.54,NA
2021-07-29,1103.59,NA
2021-07-30,1103.76,NA
2021-08-01,NA,81860000000.0
2021-08-02,1103.95,NA
2021-08-03,1104.02,NA
2021-08-05,1104.15,NA
2021-08-09,1104.49,NA
2021-08-12,1104.64,NA
2021-08-13,1104.67,NA
2021-08-16,1104.96,NA
2021-08-18,1105.08,NA
2021-08-20,1105.15,NA
2021-08-23,1105.46,NA
2021-08-24,1105.53,NA
2021-08-25,1105.59,NA
2021-08-30,1105.99,NA
2021-09-01,1106.05,85670000000.0
2021-09-03,1106.18,NA
2021-09-06,1106.42,NA
2021-09-07,1106.51,NA
2021-09-08,1106.54,NA
2021-09-13,1106.82,NA
2021-09-16,1107.0,NA
2021-09-20,1107.29,NA
2021-09-23,1107.45,NA
2021-09-24,1107.49,NA
2021-09-27,1107.72,NA
2021-09-28,1107.78,NA
2021-10-01,1108.04,84040000000.0
