tanggal,data
2017-04-17,983.3
2017-04-25,1007.23
2017-05-02,1005.0
2017-05-04,1009.29
2017-05-10,1006.34
2017-05-16,997.63
2017-05-22,1023.03
2017-05-29,1013.22
2017-06-05,1026.43
2017-06-08,1018.75
2017-06-14,1043.15
2017-06-20,1031.79
2017-07-03,1053.41
2017-07-07,1033.54
2017-07-13,1035.29
2017-07-19,1031.45
2017-07-25,1035.59
2017-07-31,1036.2
2017-08-08,1029.7
2017-08-11,1016.81
2017-08-18,1037.9
2017-08-23,1041.88
2017-08-29,1038.88
2017-09-04,1019.67
2017-09-11,1031.08
2017-09-15,1024.35
2017-09-22,1028.12
2017-09-27,1017.99
2017-10-03,1032.32
2017-10-09,1028.86
2017-10-16,1035.88
2017-10-20,1029.74
2017-10-26,1036.74
2017-11-01,1044.99
2017-11-07,1056.76
2017-11-13,1046.0
2017-11-20,1054.79
2017-11-24,1060.24
2017-11-30,1036.13
2017-12-06,1064.31
2017-12-11,1065.83
2017-12-18,1080.64
2017-12-27,1109.12
2017-12-29,1125.74
2018-01-04,1113.22
2018-01-09,1129.12
2018-01-15,1130.65
2018-01-22,1148.22
2018-01-29,1171.89
2018-02-02,1157.86
2018-02-08,1149.57
2018-02-13,1153.55
2018-02-19,1172.64
2018-02-26,1136.98
2018-03-05,1131.03
2018-03-09,1105.31
2018-03-14,1091.28
2018-03-20,1066.59
2018-03-26,1053.88
2018-04-02,1063.51
2018-04-09,1066.34
2018-04-12,1078.94
2018-04-18,1081.32
2018-04-24,1058.23
2018-04-30,1003.43
2018-05-07,985.16
2018-05-14,1013.48
2018-05-17,977.54
2018-05-23,973.66
2018-05-30,1017.2
2018-06-04,1016.9
2018-06-20,979.58
2018-06-21,960.93
2018-06-27,954.19
2018-07-03,936.17
2018-07-09,972.06
2018-07-16,984.26
2018-07-20,977.51
2018-07-26,993.37
2018-08-01,1010.32
2018-08-07,1023.53
2018-08-13,976.83
2018-08-20,978.37
2018-08-24,991.53
2018-08-30,1004.81
2018-09-05,939.03
2018-09-12,960.86
2018-09-17,963.69
2018-09-24,978.45
2018-09-28,997.03
2018-10-04,953.39
2018-10-10,965.53
2018-10-16,966.88
2018-10-22,969.93
2018-10-29,953.35
2018-11-02,992.8
2018-11-08,1007.29
2018-11-14,976.09
2018-11-19,1006.97
2018-11-26,1010.85
2018-12-03,1027.13
2018-12-07,1025.73
2018-12-13,1035.89
2018-12-18,1019.12
2018-12-26,1027.42
2019-01-02,1031.96
2019-01-07,1051.98
2019-01-11,1063.12
2019-01-17,1073.89
2019-01-22,1078.18
2019-01-28,1066.55
2019-02-04,1066.44
2019-02-11,1062.82
2019-02-15,1035.34
2019-02-20,1059.94
2019-02-26,1065.11
2019-03-04,1058.18
2019-03-11,1034.14
2019-03-18,1064.01
2019-03-22,1065.5
2019-03-27,1048.11
2019-04-02,1057.38
2019-04-08,1052.29
2019-04-15,1050.29
2019-04-22,1047.61
2019-04-25,1041.23
2019-05-02,1042.43
2019-05-07,1030.99
2019-05-13,998.98
2019-05-20,959.9
2019-05-24,993.15
2019-05-31,1027.3
2019-06-10,1046.02
2019-06-11,1046.47
2019-06-17,1029.25
2019-06-24,1045.44
2019-06-28,1060.57
2019-07-04,1066.37
2019-07-10,1071.26
2019-07-16,1069.17
2019-07-22,1071.49
2019-07-29,1048.52
2019-08-02,1046.0
2019-08-08,1029.33
2019-08-14,1024.51
2019-08-20,1020.36
2019-08-26,1005.3
2019-09-02,1020.99
2019-09-06,1024.58
2019-09-12,1029.58
2019-09-18,1026.49
2019-09-24,994.73
2019-09-30,999.38
2019-10-07,962.61
2019-10-11,980.4
2019-10-17,1000.94
2019-10-23,1022.86
2019-10-28,1025.31
2019-11-04,1006.49
2019-11-11,1010.67
2019-11-15,1005.83
2019-11-21,1010.82
2019-11-27,990.55
2019-12-02,1007.13
2019-12-09,1023.03
2019-12-16,1032.03
2019-12-20,1047.78
2019-12-26,1050.81
2020-01-02,1039.74
2020-01-06,1037.88
2020-01-13,1052.54
2020-01-20,1044.77
2020-01-24,1046.47
2020-01-27,1022.74
2020-01-29,1019.46
2020-02-03,973.4
2020-02-04,984.02
2020-02-06,995.06
2020-02-10,985.76
2020-02-13,967.07
2020-02-17,970.06
2020-02-21,972.74
2020-02-24,956.19
2020-02-25,956.92
2020-02-28,900.36
2020-03-03,914.0
2020-03-04,942.75
2020-03-09,837.06
2020-03-10,851.67
2020-03-11,840.58
2020-03-16,758.31
2020-03-18,687.94
2020-03-23,620.22
2020-03-26,676.06
2020-03-30,688.98
2020-04-02,712.21
2020-04-06,759.92
2020-04-08,721.14
2020-04-13,718.4
2020-04-14,737.33
2020-04-17,721.31
2020-04-20,709.76
2020-04-21,697.23
2020-04-24,696.58
2020-04-27,701.45
2020-04-28,706.34
2020-05-04,720.29
2020-05-06,718.09
2020-05-08,718.91
2020-05-11,728.45
2020-05-13,708.82
2020-05-18,700.78
2020-05-19,710.27
2020-05-26,725.34
2020-05-28,742.93
2020-06-02,781.54
2020-06-05,804.24
2020-06-08,827.08
2020-06-11,779.79
2020-06-12,786.91
2020-06-16,810.08
2020-06-17,810.66
2020-06-22,798.65
2020-06-23,791.66
2020-06-29,797.85
2020-07-01,800.25
2020-07-06,817.64
2020-07-08,836.36
2020-07-10,823.82
2020-07-13,831.96
2020-07-16,838.84
2020-07-20,827.35
2020-07-22,842.0
2020-07-23,849.23
2020-07-27,844.17
2020-07-28,842.52
2020-08-03,818.64
2020-08-07,853.52
2020-08-10,854.99
2020-08-11,860.55
2020-08-14,872.64
2020-08-18,883.56
2020-08-24,879.41
2020-08-26,893.29
2020-08-31,869.09
2020-09-01,884.66
2020-09-02,886.95
2020-09-07,869.17
2020-09-10,800.0
2020-09-14,850.78
2020-09-17,822.32
2020-09-18,827.72
2020-09-21,814.98
2020-09-24,786.08
2020-09-25,806.32
2020-09-28,796.12
2020-09-30,783.71
2020-10-02,797.02
2020-10-05,801.19
2020-10-06,809.87
2020-10-12,823.9
2020-10-13,830.48
2020-10-19,838.51
2020-10-21,836.02
2020-10-23,838.08
2020-10-26,842.33
2020-11-02,835.66
2020-11-04,828.11
2020-11-05,861.2
2020-11-09,884.63
2020-11-12,907.91
2020-11-16,914.99
2020-11-20,924.51
2020-11-23,942.59
2020-11-24,947.7
2020-11-27,961.44
2020-12-01,945.55
2020-12-03,961.0
2020-12-07,977.96
2020-12-08,975.32
2020-12-14,983.81
2020-12-16,1013.87
