tanggal,data
2003-10-27,1002.38
2003-11-11,1003.08
2003-12-01,1006.55
2003-12-15,1009.93
2003-12-29,1013.47
2004-01-14,1020.07
2004-01-30,1024.86
2004-02-16,1029.4
2004-03-01,1034.14
2004-03-17,1038.69
2004-04-02,1042.98
2004-04-19,1047.43
2004-05-04,1051.78
2004-05-21,1049.1
2004-06-07,1052.48
2004-06-21,1054.2
2004-07-07,1058.48
2004-07-23,1061.19
2004-08-09,1064.09
2004-08-23,1067.15
2004-09-08,1070.56
2004-09-24,1074.32
2004-10-11,1077.95
2004-10-26,1079.58
2004-11-11,1083.17
2004-11-29,1087.79
2004-12-13,1089.39
2004-12-29,1091.81
2005-01-14,1099.34
2005-01-31,1103.76
2005-02-14,1105.13
2005-03-02,1107.4
2005-03-18,1107.27
2005-04-04,1104.45
2005-04-19,1104.76
2005-05-06,1107.29
2005-05-23,1110.61
2005-06-06,1111.47
2005-06-22,1114.17
2005-07-08,1111.69
2005-07-25,1115.17
2005-08-08,1113.7
2005-08-24,1104.45
2005-09-09,1088.14
2005-09-26,1059.01
2005-10-11,1065.11
2005-10-27,1070.64
2005-11-14,1073.83
2005-11-28,1080.11
2005-12-14,1087.5
2006-01-02,1092.9
2006-01-16,1100.36
2006-01-30,1107.3
2006-02-15,1113.83
2006-03-03,1125.97
2006-03-20,1128.86
2006-04-04,1134.0
2006-04-20,1143.59
2006-05-08,1150.61
2006-05-22,1152.44
2006-06-07,1152.84
2006-06-23,1157.1
2006-07-10,1167.45
2006-07-24,1174.42
2006-08-09,1183.6
2006-08-25,1189.4
2006-09-11,1197.79
2006-09-26,1206.06
2006-10-12,1211.56
2006-10-30,1219.34
2006-11-13,1224.7
2006-11-29,1230.29
2006-12-15,1238.38
2007-01-02,1243.68
2007-01-15,1248.17
2007-01-31,1254.5
2007-02-16,1254.69
2007-03-05,1258.66
2007-03-20,1264.71
2007-04-05,1269.47
2007-04-23,1273.96
2007-05-07,1278.23
2007-05-23,1284.98
2007-06-08,1289.79
2007-06-25,1294.57
2007-07-09,1298.15
2007-07-25,1300.54
2007-08-10,1301.39
2007-08-27,1300.74
2007-09-11,1304.79
2007-09-27,1310.62
2007-10-18,1319.25
2007-10-29,1321.76
2007-11-14,1324.28
2007-11-30,1324.52
2007-12-17,1330.5
2008-01-02,1331.07
2008-01-16,1336.26
2008-02-01,1339.45
2008-02-18,1343.11
2008-03-04,1343.02
2008-03-24,1344.3
2008-04-07,1332.42
2008-04-21,1337.75
2008-05-07,1334.24
2008-05-23,1339.46
2008-06-09,1339.56
2008-06-23,1338.97
2008-07-09,1348.14
2008-07-25,1364.53
2008-08-11,1369.27
2008-08-26,1369.78
2008-09-11,1363.22
2008-09-29,1368.79
2008-10-13,1331.6
2008-10-29,1262.17
2008-11-14,1307.84
2008-12-01,1310.18
2008-12-16,1314.67
2009-01-05,1319.83
2009-01-16,1323.6
2009-02-02,1325.83
2009-02-17,1332.5
2009-03-05,1336.24
2009-03-23,1340.53
2009-04-06,1345.84
2009-04-22,1349.78
2009-05-08,1353.65
2009-05-25,1356.76
2009-06-09,1364.11
2009-06-24,1363.16
2009-07-10,1370.83
2009-07-27,1372.79
2009-08-11,1374.14
2009-08-27,1381.24
2009-09-14,1383.02
2009-09-28,1388.01
2009-10-14,1391.09
2009-10-30,1392.14
2009-11-16,1397.77
2009-12-01,1401.68
2009-12-16,1408.71
2010-01-04,1411.83
2010-01-18,1414.52
2010-02-02,1414.49
2010-02-18,1419.95
2010-03-08,1422.44
2010-03-22,1427.8
2010-04-07,1431.47
2010-04-23,1437.69
2010-05-10,1440.24
2010-05-25,1440.16
2010-06-09,1443.46
2010-06-25,1453.31
2010-07-12,1455.93
2010-07-27,1459.72
2010-08-12,1468.37
2010-08-30,1472.72
2010-09-15,1476.02
2010-09-29,1475.49
2010-10-15,1479.26
2010-11-01,1486.15
2010-11-16,1489.47
2010-12-01,1487.45
2010-12-17,1488.07
2011-01-03,1493.68
2011-01-18,1494.28
2011-02-04,1496.93
2011-02-21,1498.84
2011-03-07,1500.25
2011-03-23,1502.42
2011-04-08,1504.53
2011-04-25,1506.11
2011-05-10,1507.97
2011-05-25,1511.37
2011-06-10,1513.49
2011-06-27,1516.9
2011-07-12,1521.13
2011-07-28,1525.17
2011-08-15,1530.48
2011-09-05,1534.42
2011-09-14,1536.03
2011-09-30,1537.78
2011-10-17,1543.89
2011-11-01,1548.18
2011-11-16,1552.32
2011-12-02,1555.73
2011-12-19,1559.39
2012-01-03,1563.39
2012-01-19,1569.57
2012-02-06,1575.8
2012-02-20,1579.73
2012-03-07,1579.89
2012-03-26,1582.27
2012-04-09,1584.29
2012-04-24,1587.06
2012-05-09,1589.31
2012-05-25,1590.72
2012-06-11,1594.27
2012-06-26,1596.43
2012-07-12,1599.79
2012-07-30,1604.55
2012-08-13,1606.74
2012-08-29,1608.14
2012-09-14,1612.85
2012-10-01,1616.71
2012-10-16,1619.77
2012-11-01,1623.31
2012-11-19,1629.0
