tanggal,data
2014-05-22,1007.86
2014-06-16,1010.6
2014-07-07,1009.19
2014-08-04,1013.31
2014-08-20,1006.96
2014-09-12,1019.36
2014-10-06,1006.36
2014-10-27,1034.74
2014-11-18,1045.79
2014-12-10,1048.84
2015-01-02,1061.53
2015-01-26,1107.01
2015-02-16,1098.08
2015-03-10,1096.23
2015-04-01,1101.07
2015-04-24,1095.22
2015-05-18,1071.62
2015-06-08,1035.7
2015-06-30,1064.13
2015-07-22,1066.62
2015-08-14,1039.34
2015-09-07,1027.11
2015-09-28,1002.09
2015-10-20,1045.82
2015-11-11,1050.49
2015-12-04,1063.02
2015-12-28,1053.19
2016-01-18,1065.74
2016-02-09,1101.25
2016-03-02,1093.65
2016-03-28,1125.98
2016-04-18,1167.13
2016-05-09,1149.27
2016-05-31,1148.06
2016-06-23,1166.82
2016-07-15,1204.15
2016-08-08,1222.26
2016-08-29,1214.95
2016-09-20,1225.44
2016-10-13,1224.96
2016-11-04,1209.85
2016-11-28,1160.42
2016-12-19,1179.6
2017-01-10,1194.62
2017-02-02,1201.74
2017-02-24,1212.02
2017-03-20,1236.93
2017-04-10,1249.0
2017-05-02,1260.05
2017-05-26,1269.09
2017-06-16,1280.56
2017-07-10,1264.86
2017-07-31,1281.17
2017-08-22,1291.55
2017-09-14,1323.04
2017-10-06,1324.07
2017-10-30,1307.35
2017-11-20,1331.41
2017-12-12,1345.97
2018-01-04,1377.61
2018-01-26,1378.14
2018-02-19,1362.31
2018-03-12,1339.21
2018-04-04,1364.09
2018-04-26,1325.89
2018-05-18,1309.11
2018-06-20,1320.72
2018-07-02,1281.75
2018-07-25,1289.58
2018-08-16,1288.11
2018-09-07,1261.44
2018-10-01,1290.77
2018-10-22,1266.39
2018-11-14,1293.84
2018-12-06,1304.03
2019-01-02,1310.63
2019-01-21,1310.56
2019-02-11,1331.25
2019-03-06,1339.95
2019-03-28,1358.78
2019-04-22,1366.5
2019-05-13,1342.36
2019-06-10,1364.2
2019-06-26,1392.35
2019-07-18,1422.52
2019-08-12,1406.24
2019-09-02,1411.42
2019-09-23,1421.43
2019-10-16,1432.0
2019-11-07,1454.39
2019-12-02,1447.13
2019-12-23,1453.12
2020-01-14,1475.98
2020-01-24,1501.77
2020-02-04,1498.04
2020-02-05,1496.2
2020-02-14,1509.43
2020-02-25,1512.95
2020-02-27,1496.8
2020-03-06,1506.1
2020-03-17,1439.85
2020-03-23,1381.93
2020-03-27,1406.72
2020-04-07,1387.5
2020-04-13,1395.49
2020-04-17,1408.98
2020-04-28,1405.22
2020-05-05,1404.67
2020-05-08,1400.86
2020-05-19,1432.52
2020-05-27,1454.97
2020-05-29,1449.18
2020-06-09,1457.78
2020-06-18,1465.44
2020-06-19,1465.52
2020-06-30,1473.47
2020-07-10,1483.64
2020-07-13,1485.16
2020-07-21,1492.11
2020-08-03,1510.2
2020-08-11,1520.66
2020-08-24,1529.65
2020-08-25,1530.59
2020-09-01,1523.96
2020-09-11,1517.59
2020-09-16,1521.48
2020-09-22,1524.26
2020-10-02,1524.28
2020-10-09,1526.1
2020-10-13,1529.77
2020-10-23,1544.43
2020-11-02,1545.93
2020-11-03,1547.1
2020-11-13,1564.25
2020-11-23,1574.48
2020-11-24,1576.21
2020-12-04,1583.21
2020-12-15,1592.73
2020-12-28,1602.98
2021-01-05,1602.22
2021-01-06,1599.63
2021-01-15,1582.88
2021-01-26,1579.6
2021-01-29,1584.88
2021-02-05,1594.14
2021-02-16,1588.26
2021-02-22,1562.33
2021-02-26,1558.11
2021-03-09,1541.36
2021-03-15,1545.15
2021-03-19,1544.3
2021-03-30,1551.78
2021-04-06,1567.94
2021-04-09,1578.85
2021-04-20,1580.61
2021-04-28,1577.15
2021-04-30,1581.05
2021-05-11,1591.07
2021-05-21,1589.72
2021-06-02,1599.07
2021-06-11,1610.81
2021-06-14,1609.25
2021-06-22,1591.73
2021-07-02,1591.1
2021-07-05,1593.73
2021-07-13,1599.98
2021-07-23,1614.92
2021-07-27,1616.31
2021-08-03,1625.78
2021-08-13,1617.52
2021-08-18,1620.98
2021-08-24,1626.65
2021-09-03,1641.35
2021-09-10,1640.73
2021-09-14,1643.19
2021-09-24,1637.47
2021-10-04,1632.42
2021-10-05,1634.21
2021-10-15,1638.58
2021-10-25,1639.85
2021-10-26,1642.37
2021-11-05,1640.7
2021-11-16,1646.05
2021-11-26,1646.23
2021-12-07,1630.25
2021-12-08,1634.83
2021-12-17,1629.59
2021-12-28,1638.99
2022-01-03,1637.38
2022-01-07,1630.48
2022-01-18,1635.61
2022-01-24,1634.06
2022-01-28,1633.31
2022-01-31,1634.92
2022-02-07,1636.06
2022-02-08,1636.9
2022-02-14,1637.54
2022-02-18,1641.41
2022-02-21,1643.14
2022-02-25,1644.12
2022-03-01,1645.08
2022-03-04,1638.82
2022-03-08,1627.77
2022-03-10,1624.39
2022-03-11,1626.21
2022-03-16,1623.58
2022-03-22,1625.94
2022-03-28,1627.42
2022-03-30,1624.73
2022-04-04,1625.9
2022-04-11,1624.48
2022-04-12,1623.44
2022-04-18,1621.43
2022-04-22,1615.31
2022-04-25,1613.96
2022-05-09,1594.49
2022-05-12,1564.45
2022-05-13,1564.57
2022-05-17,1565.72
2022-05-18,1567.47
2022-05-24,1588.05
2022-05-30,1606.34
2022-06-03,1619.16
2022-06-06,1621.1
2022-06-13,1606.2
2022-06-14,1584.88
2022-06-20,1587.48
2022-06-24,1595.09
2022-06-27,1601.97
2022-06-28,1604.24
2022-07-01,1607.38
2022-07-05,1607.15
2022-07-07,1610.33
2022-07-14,1609.63
2022-07-15,1606.49
2022-07-20,1594.88
2022-07-21,1593.96
2022-07-26,1598.38
2022-08-01,1621.03
2022-08-05,1623.69
2022-08-08,1624.95
2022-08-12,1639.33
2022-08-15,1637.87
2022-08-16,1637.1
2022-08-22,1634.76
2022-08-26,1635.44
2022-08-29,1632.01
2022-09-02,1632.68
2022-09-05,1631.68
2022-09-06,1630.47
2022-09-08,1628.84
2022-09-15,1629.21
2022-09-16,1625.93
2022-09-21,1626.42
2022-09-26,1617.06
2022-09-27,1617.04
2022-10-03,1616.25
2022-10-07,1620.53
2022-10-10,1619.1
2022-10-17,1611.36
2022-10-18,1612.4
2022-10-24,1598.48
2022-10-28,1603.77
2022-10-31,1603.11
2022-11-04,1607.13
2022-11-08,1608.44
2022-11-10,1614.78
2022-11-17,1634.34
2022-11-21,1631.18
2022-11-23,1638.07
2022-11-29,1650.82
2022-12-02,1673.61
2022-12-05,1670.82
2022-12-12,1667.2
2022-12-19,1671.93
2022-12-20,1671.75
2022-12-26,1673.04
2022-12-30,1673.14
2023-01-02,1674.18
2023-01-06,1673.61
2023-01-10,1683.72
2023-01-12,1690.52
2023-01-16,1690.8
2023-01-19,1696.59
2023-01-20,1693.19
2023-01-25,1694.79
2023-01-31,1697.17
2023-02-06,1700.93
2023-02-07,1698.59
2023-02-10,1701.73
2023-02-13,1699.78
2023-02-20,1701.28
2023-02-21,1698.75
2023-02-27,1691.55
2023-03-02,1687.3
2023-03-03,1687.32
2023-03-06,1688.82
2023-03-13,1692.7
2023-03-14,1699.06
2023-03-16,1694.5
2023-03-24,1700.91
2023-03-29,1701.93
2023-04-04,1710.1
2023-04-10,1711.08
2023-04-14,1713.02
2023-04-17,1711.98
2023-04-27,1722.26
2023-05-02,1721.22
2023-05-05,1729.06
2023-05-08,1729.7
2023-05-12,1738.16
2023-05-16,1740.91
2023-05-19,1739.17
2023-05-25,1741.35
2023-05-26,1740.07
2023-05-30,1745.9
2023-05-31,1748.56
2023-06-06,1749.51
2023-06-12,1756.06
2023-06-16,1761.25
2023-06-19,1758.14
2023-06-22,1758.66
2023-06-26,1758.9
2023-06-27,1761.48
2023-07-03,1764.25
2023-07-07,1760.21
2023-07-10,1759.48
2023-07-14,1769.97
2023-07-18,1768.6
2023-07-20,1768.49
2023-07-26,1765.74
2023-07-28,1764.06
2023-08-02,1764.47
2023-08-07,1762.28
2023-08-08,1762.91
2023-08-14,1761.05
2023-08-18,1752.46
2023-08-21,1747.11
2023-08-28,1753.02
2023-08-29,1758.61
2023-09-04,1765.09
2023-09-08,1753.76
2023-09-11,1750.85
2023-09-15,1740.25
2023-09-19,1736.19
2023-09-21,1734.1
2023-09-27,1728.25
2023-09-29,1725.88
2023-10-04,1702.87
2023-10-10,1713.07
2023-10-12,1724.8
2023-10-16,1728.53
2023-10-20,1700.07
2023-10-23,1691.71
2023-10-30,1702.57
2023-10-31,1702.44
2023-11-03,1725.72
2023-11-06,1737.56
2023-11-10,1725.45
2023-11-13,1723.8
2023-11-17,1748.36
2023-11-21,1747.35
2023-11-23,1748.8
2023-11-27,1744.8
2023-11-29,1754.63
2023-12-01,1753.67
2023-12-06,1760.14
2023-12-12,1752.45
2023-12-18,1769.19
2023-12-22,1771.9
2023-12-27,1772.92
2024-01-02,1774.41
2024-01-08,1764.81
2024-01-09,1763.42
2024-01-12,1770.3
2024-01-16,1770.45
2024-01-19,1775.17
2024-01-23,1777.02
2024-01-25,1771.69
2024-01-31,1778.27
2024-02-06,1775.92
2024-02-07,1777.01
2024-02-13,1776.11
2024-02-19,1777.16
2024-02-26,1783.25
2024-03-04,1780.09
2024-03-05,1778.18
2024-03-13,1781.26
2024-03-15,1778.91
2024-03-18,1779.38
2024-03-22,1781.98
2024-03-26,1778.73
2024-03-28,1777.78
2024-04-03,1779.64
2024-04-16,1770.48
2024-04-22,1754.94
2024-04-26,1749.73
2024-04-30,1746.01
2024-05-02,1752.98
2024-05-06,1769.86
2024-05-07,1770.12
2024-05-13,1767.13
2024-05-17,1779.38
2024-05-20,1777.21
2024-05-27,1776.87
2024-05-28,1777.43
2024-05-30,1773.31
2024-06-06,1779.34
2024-06-07,1780.54
2024-06-12,1773.39
2024-06-14,1767.89
2024-06-19,1766.05
2024-06-24,1766.83
2024-06-28,1773.1
2024-07-01,1772.91
2024-07-08,1777.23
2024-07-09,1775.39
2024-07-16,1781.98
2024-07-19,1785.22
2024-07-22,1782.98
2024-07-26,1785.86
2024-07-29,1789.07
2024-07-30,1790.26
2024-08-01,1797.91
2024-08-07,1802.69
2024-08-09,1807.62
2024-08-14,1813.0
2024-08-20,1823.2
2024-08-21,1826.82
2024-08-26,1829.68
2024-08-30,1828.0
2024-09-02,1828.07
2024-09-09,1829.46
2024-09-11,1832.94
2024-09-12,1832.66
2024-09-17,1838.74
2024-09-20,1854.44
2024-09-23,1851.83
2024-09-27,1851.33
2024-10-01,1848.23
2024-10-03,1840.5
2024-10-04,1833.68
2024-10-09,1828.01
2024-10-11,1832.47
2024-10-16,1834.0
2024-10-22,1829.45
2024-10-24,1823.24
2024-10-25,1825.11
2024-10-29,1814.58
2024-10-30,1814.89
