tanggal,data
2018-09-06,1001.07
2018-09-12,1001.91
2018-09-17,1002.65
2018-09-21,1003.11
2018-09-26,1003.75
2018-10-01,1004.57
2018-10-05,1005.06
2018-10-10,1005.77
2018-10-15,1006.47
2018-10-19,1007.0
2018-10-24,1007.83
2018-10-29,1008.37
2018-11-05,1009.46
2018-11-08,1009.82
2018-11-12,1010.36
2018-11-19,1011.26
2018-11-22,1011.76
2018-11-27,1012.46
2018-12-03,1013.5
2018-12-06,1013.87
2018-12-11,1014.6
2018-12-17,1015.6
2018-12-21,1016.31
2018-12-26,1017.06
2019-01-02,1018.21
2019-01-04,1018.67
2019-01-09,1019.66
2019-01-14,1020.43
2019-01-18,1021.0
2019-01-23,1021.78
2019-01-28,1022.56
2019-02-04,1023.57
2019-02-07,1024.06
2019-02-11,1024.67
2019-02-18,1025.84
2019-02-21,1026.31
2019-02-26,1027.19
2019-03-04,1028.37
2019-03-08,1028.97
2019-03-12,1029.62
2019-03-18,1030.52
2019-03-22,1031.19
2019-03-27,1031.92
2019-04-01,1032.8
2019-04-05,1033.33
2019-04-10,1034.08
2019-04-15,1034.9
2019-04-22,1036.28
2019-04-24,1036.72
2019-04-29,1037.21
2019-05-06,1038.2
2019-05-09,1038.57
2019-05-13,1039.2
2019-05-20,1040.2
2019-05-23,1040.76
2019-05-28,1041.55
2019-06-10,1043.92
2019-06-11,1044.06
2019-06-17,1045.09
2019-06-21,1045.78
2019-06-26,1046.59
2019-07-01,1047.38
2019-07-05,1048.34
2019-07-10,1049.19
2019-07-15,1050.13
2019-07-19,1051.01
2019-07-24,1051.94
2019-07-29,1053.75
2019-08-05,1054.68
2019-08-08,1055.44
2019-08-12,1056.19
2019-08-19,1057.59
2019-08-22,1058.17
2019-08-27,1058.95
2019-09-02,1059.8
2019-09-05,1060.34
2019-09-10,1061.45
2019-09-16,1062.62
2019-09-20,1063.36
2019-09-25,1064.26
2019-09-30,1065.29
2019-10-04,1065.37
2019-10-09,1066.36
2019-10-14,1067.28
2019-10-18,1068.02
2019-10-23,1068.92
2019-10-28,1069.82
2019-11-04,1071.07
2019-11-07,1071.79
2019-11-11,1072.46
2019-11-18,1073.51
2019-11-21,1073.89
2019-11-26,1074.53
2019-12-02,1075.32
2019-12-05,1075.85
2019-12-10,1076.7
2019-12-16,1077.66
2019-12-20,1078.23
2019-12-26,1079.12
2019-12-30,1079.65
2020-01-03,1080.01
2020-01-08,1081.81
2020-01-13,1082.72
2020-01-17,1083.62
2020-01-22,1084.4
2020-01-27,1085.02
2020-02-03,1085.85
2020-02-05,1086.17
2020-02-06,1086.32
2020-02-10,1086.77
2020-02-13,1087.24
2020-02-17,1087.81
2020-02-20,1088.15
2020-02-24,1088.6
2020-02-25,1088.73
2020-02-28,1088.97
2020-03-02,1089.32
2020-03-03,1089.46
2020-03-05,1089.77
2020-03-06,1089.84
2020-03-10,1090.31
2020-03-16,1091.14
2020-03-18,1091.25
2020-03-20,1091.53
2020-03-23,1091.93
2020-03-26,1092.32
2020-03-30,1092.85
2020-04-02,1093.09
2020-04-03,1093.2
2020-04-06,1093.51
2020-04-08,1093.7
2020-04-09,1093.79
2020-04-13,1094.24
2020-04-17,1094.61
2020-04-20,1095.32
2020-04-22,1095.51
2020-04-24,1095.72
2020-04-27,1096.03
2020-04-28,1096.13
2020-05-04,1096.92
2020-05-05,1096.92
2020-05-08,1097.22
2020-05-11,1097.55
2020-05-13,1097.77
2020-05-18,1098.31
2020-05-20,1098.5
2020-05-26,1099.15
2020-05-28,1099.52
2020-06-02,1100.01
2020-06-04,1100.38
2020-06-08,1101.24
2020-06-09,1101.36
2020-06-12,1101.75
2020-06-15,1102.09
2020-06-19,1102.3
2020-06-23,1102.82
2020-06-24,1102.95
2020-06-29,1103.56
2020-06-30,1103.79
2020-07-03,1104.11
2020-07-06,1104.46
2020-07-08,1104.67
2020-07-13,1105.33
2020-07-15,1105.61
2020-07-17,1106.23
2020-07-20,1106.55
2020-07-22,1106.81
2020-07-23,1106.98
2020-07-27,1107.49
2020-07-30,1108.22
2020-08-03,1108.66
2020-08-06,1109.05
2020-08-07,1109.24
2020-08-10,1109.68
2020-08-14,1110.35
2020-08-18,1110.98
2020-08-24,1112.0
2020-08-25,1112.4
2020-08-31,1113.86
2020-09-02,1114.14
2020-09-03,1114.28
2020-09-07,1114.83
2020-09-08,1114.97
2020-09-09,1115.11
2020-09-14,1115.77
2020-09-17,1116.13
2020-09-18,1116.26
2020-09-21,1116.97
2020-09-23,1117.99
2020-09-24,1118.12
2020-09-28,1118.65
2020-10-02,1119.75
2020-10-05,1120.17
2020-10-07,1120.38
