tanggal,data
2017-04-13,1002.22
2017-05-02,1004.98
2017-05-16,1007.27
2017-06-02,1010.75
2017-06-19,1013.63
2017-07-04,1016.44
2017-07-21,1019.27
2017-08-07,1022.11
2017-08-22,1024.83
2017-09-08,1027.77
2017-09-25,1030.93
2017-10-10,1033.71
2017-10-27,1036.87
2017-11-13,1039.62
2017-11-28,1042.21
2017-12-15,1045.49
2018-01-02,1048.28
2018-01-16,1050.75
2018-02-02,1053.48
2018-02-19,1057.6
2018-03-06,1059.7
2018-03-23,1062.01
2018-04-09,1064.38
2018-04-24,1066.51
2018-05-11,1069.05
2018-05-28,1071.54
2018-06-20,1074.77
2018-06-29,1076.0
2018-07-16,1078.42
2018-07-31,1080.75
2018-08-20,1084.01
2018-09-03,1086.33
2018-09-18,1089.3
2018-10-05,1092.3
2018-10-22,1095.37
2018-11-06,1098.24
2018-11-23,1101.46
2018-12-10,1104.42
2018-12-26,1107.8
2019-01-11,1111.14
2019-01-28,1114.65
2019-02-12,1117.67
2019-03-01,1121.06
2019-03-18,1124.44
2019-04-02,1127.43
2019-04-22,1131.34
2019-05-06,1134.05
2019-05-21,1137.01
2019-06-10,1140.5
2019-06-24,1143.22
2019-07-09,1146.12
2019-07-26,1149.5
2019-08-12,1152.79
2019-08-27,1155.78
2019-09-13,1159.18
2019-09-30,1162.49
2019-10-15,1165.45
2019-11-01,1168.7
2019-11-18,1172.0
2019-12-04,1175.01
2019-12-20,1178.23
2020-01-06,1181.54
2020-01-22,1184.68
2020-01-24,1185.04
2020-02-04,1187.06
2020-02-07,1187.62
2020-02-14,1188.97
2020-02-24,1190.84
2020-02-25,1191.0
2020-03-06,1192.88
2020-03-11,1193.83
2020-03-17,1194.92
2020-03-27,1196.78
2020-04-07,1198.82
2020-04-13,1199.94
2020-04-17,1200.59
2020-04-28,1202.6
2020-04-29,1202.8
2020-05-08,1204.51
2020-05-15,1205.84
2020-05-19,1206.59
2020-05-29,1208.47
2020-06-02,1209.16
2020-06-09,1210.49
2020-06-17,1211.93
2020-06-19,1212.29
2020-06-30,1214.24
2020-07-03,1214.75
2020-07-10,1216.04
2020-07-20,1217.85
2020-07-21,1218.03
2020-08-03,1220.35
2020-08-05,1221.39
2020-08-11,1222.44
2020-08-24,1225.01
2020-09-01,1226.41
2020-09-07,1227.5
2020-09-11,1228.19
2020-09-22,1230.36
2020-09-23,1230.54
2020-10-02,1232.09
2020-10-09,1233.25
2020-10-13,1234.08
2020-10-23,1235.71
2020-10-26,1236.2
2020-11-03,1237.49
2020-11-11,1238.79
2020-11-13,1239.33
2020-11-24,1241.1
2020-11-27,1241.57
2020-12-04,1242.61
2020-12-14,1244.82
2020-12-15,1244.93
2020-12-28,1246.25
2020-12-30,1246.49
2021-01-05,1247.13
2021-01-15,1248.51
2021-01-26,1250.15
2021-02-01,1251.02
2021-02-05,1251.61
2021-02-16,1253.44
2021-02-17,1253.57
2021-02-26,1254.82
2021-03-05,1255.85
2021-03-09,1256.4
2021-03-19,1257.85
2021-03-22,1258.23
2021-03-30,1259.28
2021-04-07,1260.26
2021-04-09,1260.5
2021-04-20,1261.82
2021-04-23,1262.17
2021-04-30,1262.96
2021-05-10,1263.97
2021-05-11,1264.08
2021-05-21,1265.31
2021-05-27,1265.96
2021-06-02,1266.61
2021-06-11,1267.59
2021-06-22,1268.85
2021-06-28,1269.51
2021-07-02,1269.93
2021-07-13,1271.15
2021-07-14,1271.26
2021-07-23,1272.16
2021-07-30,1272.86
2021-08-03,1273.24
2021-08-13,1274.21
2021-08-16,1274.53
2021-08-24,1275.3
2021-09-01,1276.08
2021-09-03,1276.28
2021-09-14,1277.37
2021-09-17,1277.66
2021-09-24,1278.33
2021-10-04,1279.46
2021-10-05,1279.55
2021-10-15,1280.3
2021-10-21,1280.92
2021-10-26,1281.43
2021-11-05,1282.43
2021-11-16,1283.57
2021-11-22,1284.19
2021-11-26,1284.6
2021-12-07,1285.71
2021-12-08,1285.81
2021-12-17,1286.78
2021-12-24,1287.53
2021-12-28,1287.97
2022-01-07,1289.08
2022-01-10,1289.4
2022-01-18,1290.26
2022-01-24,1290.91
2022-01-26,1291.12
2022-01-28,1291.33
2022-01-31,1291.64
2022-02-07,1292.4
2022-02-08,1292.51
